,Obligor Name,County Code,County,State,CBSA,CBSA_title,Latitude,ZIP,Longitude
20, University Of Chicago,17031.0,"Cook, IL",IL,16980.0,"Chicago-Naperville-Elgin, IL-IN-WI",41.7813,60637,-87.6051
21, Ohio St Wtr Dev Auth,39049.0,"Franklin, OH",OH,18140.0,"Columbus, OH",40.0839,43229,-82.9726
22, Hofstra Univ N Y,36059.0,"Nassau, NY",NY,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",40.7172,11549,-73.6027
23, Sisters Of Charity Of Leavenworth Hlth Svcs Corp,8059.0,"Jefferson, CO",CO,19740.0,"Denver-Aurora-Lakewood, CO",39.8854,80021,-105.1139
24, New York St Urban Dev Corp,36061.0,"New York, NY",NY,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",40.7517,10017,-73.9707
25, Minnesota (State Of),27123.0,"Ramsey, MN",MN,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",44.9522,55155,-93.0955
26, Los Angeles Ca Dept Of Water & Pwr Wtr Sys,6037.0,"Los Angeles, CA",CA,31080.0,"Los Angeles-Long Beach-Anaheim, CA",34.0614,90012,-118.2385
27, San Diego Calif Uni Sch Dist,6073.0,"San Diego, CA",CA,41740.0,"San Diego-Carlsbad, CA",32.7466,92103,-117.1636
28, Clark County Of (Nevada),32003.0,"Clark, NV",NV,29820.0,"Las Vegas-Henderson-Paradise, NV",36.175,89155,-115.1372
29, Sanford Health,46099.0,"Minnehaha, SD",SD,43620.0,"Sioux Falls, SD",43.6746,57117,-96.7913
30, Pennsylvania Higher Education Facilities Authority,42041.0,"Cumberland, PA",PA,25420.0,"Harrisburg-Carlisle, PA",40.2469,17043,-76.9001
31, Bon Secours Mercy Health Inc,24510.0,"Baltimore (city), MD",MD,12580.0,"Baltimore-Columbia-Towson, MD",39.287,21223,-76.6476
32, Princeton University,34021.0,"Mercer, NJ",NJ,45940.0,"Trenton, NJ",40.3492,08544,-74.6528
33, Louisville & Jefferson Cnty Ky Met Swr Dist,21111.0,"Jefferson, KY",KY,31140.0,"Louisville/Jefferson County, KY-IN",38.2493,40203,-85.7694
34, South Carolina (State Of),45079.0,"Richland, SC",SC,17900.0,"Columbia, SC",34.0004,29201,-81.0334
35, New Jersey (State Of),34021.0,"Mercer, NJ",NJ,45940.0,"Trenton, NJ",40.2805,08625,-74.712
36, Pittsburgh (Pa) Wtr & Swr Auth,42003.0,"Allegheny, PA",PA,38300.0,"Pittsburgh, PA",40.4477,15222,-79.9933
37, Maui Cnty Hawaii,15009.0,"Maui, HI",HI,27980.0,"Kahului-Wailuku-Lahaina, HI",20.8966,96793,-156.5036
38, Angleton Tex Indpt Sch Dist,48039.0,"Brazoria, TX",TX,26420.0,"Houston-The Woodlands-Sugar Land, TX",29.181,77515,-95.4467
39, Pennsylvania (Commonwealth Of),42043.0,"Dauphin, PA",PA,25420.0,"Harrisburg-Carlisle, PA",40.2657,17120,-76.8827
40, Ohio (State Of),39049.0,"Franklin, OH",OH,18140.0,"Columbus, OH",39.9671,43215,-83.0044
41, University Of Texas System,48453.0,"Travis, TX",TX,12420.0,"Austin-Round Rock, TX",30.2852,78712,-97.7354
42, New Jersey Environmental Infrastructure Tr,34021.0,"Mercer, NJ",NJ,45940.0,"Trenton, NJ",40.2171,08648,-74.7429
43, Newberg Ore Sch Dist No 29Jt,41071.0,"Yamhill, OR",OR,38900.0,"Portland-Vancouver-Hillsboro, OR-WA",45.3099,97132,-122.9685
44, Platte Riv Pwr Auth Colo,8069.0,"Larimer, CO",CO,22660.0,"Fort Collins, CO",40.5384,80525,-105.0547
45, University Of Pennsylvania Hlth Sys,42101.0,"Philadelphia, PA",PA,37980.0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39.9489,19102,-75.1661
46, Arizona St Transn Brd Hwy Rev,4013.0,"Maricopa, AZ",AZ,38060.0,"Phoenix-Mesa-Scottsdale, AZ",33.4523,85007,-112.0893
47, Orange Cnty Calif Transn Auth Bans,6059.0,"Orange, CA",CA,31080.0,"Los Angeles-Long Beach-Anaheim, CA",33.7523,92701,-117.8541
48, Beaufort Cnty S C,45013.0,"Beaufort, SC",SC,25940.0,"Hilton Head Island-Bluffton-Beaufort, SC",32.4316,29902,-80.6698
49, Washington Met Area Transit Auth Dedicated Rev,11001.0,"District of Columbia, DC",DC,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.9122,20001,-77.0177
50, Grant Cnty Wash Pub Util Dist No 2,53025.0,"Grant, WA",WA,34180.0,"Moses Lake, WA",47.2771,98823,-119.5336
51, Chicago Il Water System,17031.0,"Cook, IL",IL,16980.0,"Chicago-Naperville-Elgin, IL-IN-WI",41.85,60666,-87.6501
52, Oregon (State Of),41047.0,"Marion, OR",OR,41420.0,"Salem, OR",44.949,97301,-123.004
53, Washington (State Of),53067.0,"Thurston, WA",WA,36500.0,"Olympia-Tumwater, WA",47.0379,98504,-122.9007
54, Los Angeles Calif Uni Sch Dist,6037.0,"Los Angeles, CA",CA,31080.0,"Los Angeles-Long Beach-Anaheim, CA",34.0559,90017,-118.2666
55, Lubbock Cnty Tex,48303.0,"Lubbock, TX",TX,31180.0,"Lubbock, TX",33.5659,79408,-101.9267
56, California Infrastructure And Economic Development Bank State Revolving Fund,6067.0,"Sacramento, CA",CA,40900.0,"Sacramento--Roseville--Arden-Arcade, CA",38.5804,95814,-121.4922
57, Las Vegas Valley Nev Wtr Dist,32003.0,"Clark, NV",NV,29820.0,"Las Vegas-Henderson-Paradise, NV",36.175,89153,-115.1372
58, Baltimore Md,24510.0,"Baltimore (city), MD",MD,12580.0,"Baltimore-Columbia-Towson, MD",39.2998,21202,-76.6075
59, Plano Tex Indpt Sch Dist,48085.0,"Collin, TX",TX,19100.0,"Dallas-Fort Worth-Arlington, TX",33.025,75075,-96.7397
60, Falls Twp Pa,42017.0,"Bucks, PA",PA,37980.0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",40.1748,19030,-74.8519
61, Maryland (State Of),24003.0,"Anne Arundel, MD",MD,12580.0,"Baltimore-Columbia-Towson, MD",38.9898,21401,-76.5501
62, Massachusetts St Wtr Polln Abatement Tr Pool Ln,25025.0,"Suffolk, MA",MA,14460.0,"Boston-Cambridge-Newton, MA-NH",42.3576,02108,-71.0684
63, Maricopa Cnty Ariz Un High Sch Dist No 216,4013.0,"Maricopa, AZ",AZ,38060.0,"Phoenix-Mesa-Scottsdale, AZ",33.5097,85012,-112.0678
64, Rhode Island (State Of),25021.0,"Norfolk, MA",MA,14460.0,"Boston-Cambridge-Newton, MA-NH",42.0617,02093,-71.3396
65, Los Angeles Cnty Calif Met Transn Auth Meas R Junior Subordinate,6037.0,"Los Angeles, CA",CA,31080.0,"Los Angeles-Long Beach-Anaheim, CA",34.0614,90012,-118.2385
66, Columbus Ohio,39049.0,"Franklin, OH",OH,18140.0,"Columbus, OH",39.9671,43215,-83.0044
67, Milwaukee Wis,55079.0,"Milwaukee, WI",WI,33340.0,"Milwaukee-Waukesha-West Allis, WI",43.0506,53202,-87.8968
68, University Of Massachusetts Bldg  Auth,25025.0,"Suffolk, MA",MA,14460.0,"Boston-Cambridge-Newton, MA-NH",42.3576,02108,-71.0684
69, Utility Debt Securitization Authority,36059.0,"Nassau, NY",NY,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",40.702,11553,-73.592
70, Tolland Conn,9013.0,"Tolland, CT",CT,25540.0,"Hartford-West Hartford-East Hartford, CT",41.8696,06084,-72.3718
71, Hartford Cnty Conn Met Dist,9003.0,"Hartford, CT",CT,25540.0,"Hartford-West Hartford-East Hartford, CT",41.7918,06142,-72.7188
72, Gaston Cnty N C,37071.0,"Gaston, NC",NC,16740.0,"Charlotte-Concord-Gastonia, NC-SC",35.2449,28052,-81.2194
73, New York City Transitional Fin Auth,36061.0,"New York, NY",NY,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",40.7139,10007,-74.007
74, Orange Cnty Calif Wtr Dist,6059.0,"Orange, CA",CA,31080.0,"Los Angeles-Long Beach-Anaheim, CA",33.7102,92708,-117.9503
75, Texas Water Development Board - Swirft,48453.0,"Travis, TX",TX,12420.0,"Austin-Round Rock, TX",30.3264,78711,-97.7713
76, Forsyth Cnty Ga,13117.0,"Forsyth, GA",GA,12060.0,"Atlanta-Sandy Springs-Roswell, GA",34.2321,30040,-84.158
77, University Of Pittsburgh Medical Center,42003.0,"Allegheny, PA",PA,38300.0,"Pittsburgh, PA",40.444,15213,-79.9552
78, Milpitas Lease,6085.0,"Santa Clara, CA",CA,41940.0,"San Jose-Sunnyvale-Santa Clara, CA",37.4352,95035,-121.895
79, Virginia College Bldg Auth Va,51760.0,"City of Richmond, VA",VA,40060.0,"Richmond, VA",37.5463,23219,-77.4378
80, Watertown Mass,25017.0,"Middlesex, MA",MA,14460.0,"Boston-Cambridge-Newton, MA-NH",42.37,02472,-71.1773
81, Scppa Southern Trans Proj,6037.0,"Los Angeles, CA",CA,31080.0,"Los Angeles-Long Beach-Anaheim, CA",34.1287,91740,-117.8552
82, Anderson Regl Jt Wtr Sys S C Wtrwks Sys Rev,45007.0,"Anderson, SC",SC,24860.0,"Greenville-Anderson-Mauldin, SC",34.5271,29625,-82.7087
83, Hampden Twp Pa,42041.0,"Cumberland, PA",PA,25420.0,"Harrisburg-Carlisle, PA",40.2122,17050,-77.0265
84, Delaware River Port Authority,34007.0,"Camden, NJ",NJ,37980.0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39.9259,08101,-75.1196
85, Connecticut St Hsg Fin Auth,9003.0,"Hartford, CT",CT,25540.0,"Hartford-West Hartford-East Hartford, CT",41.6583,06067,-72.6632
86, Parker Colo Wtr & Santn Dist,8035.0,"Douglas, CO",CO,19740.0,"Denver-Aurora-Lakewood, CO",39.4895,80134,-104.8447
87, Delaware Transn Auth - Garvee,10001.0,"Kent, DE",DE,20100.0,"Dover, DE",39.1564,19901,-75.4955
88, North Carolina St Cap Impt Ltd Oblig,37183.0,"Wake, NC",NC,39580.0,"Raleigh, NC",35.7977,27699,-78.6253
89, Concord Calif Lease,6013.0,"Contra Costa, CA",CA,41860.0,"San Francisco-Oakland-Hayward, CA",37.9841,94519,-122.0119
90, Mansfield Tex,48439.0,"Tarrant, TX",TX,19100.0,"Dallas-Fort Worth-Arlington, TX",32.5773,76063,-97.1416
91, Charlotte Douglas International Airport,37119.0,"Mecklenburg, NC",NC,16740.0,"Charlotte-Concord-Gastonia, NC-SC",35.2358,28208,-80.8964
92, Texas Transportation Commission,48453.0,"Travis, TX",TX,12420.0,"Austin-Round Rock, TX",30.2428,78704,-97.7658
93, Morgan Hill Calif Uni Sch Dist,6085.0,"Santa Clara, CA",CA,41940.0,"San Jose-Sunnyvale-Santa Clara, CA",37.1353,95037,-121.6501
94, Fairview Health Services,27053.0,"Hennepin, MN",MN,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",44.9682,55454,-93.2429
95, Kansas St Revolving Fund,20177.0,"Shawnee, KS",KS,45820.0,"Topeka, KS",39.0553,66603,-95.6802
96, Truckee Meadows Nev Wtr Auth,32031.0,"Washoe, NV",NV,39900.0,"Reno, NV",39.5296,89520,-119.8138
97, Dallas Area Rapid Transit,48113.0,"Dallas, TX",TX,19100.0,"Dallas-Fort Worth-Arlington, TX",32.7781,75202,-96.8054
98, Minnesota St Colleges & Univ,27123.0,"Ramsey, MN",MN,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",44.9512,55101,-93.0902
99, Maine St - Garvee,23011.0,"Kennebec, ME",ME,12300.0,"Augusta-Waterville, ME",44.3232,04330,-69.7665
100, Santa Clara Vy Calif Wtr Dist,6085.0,"Santa Clara, CA",CA,41940.0,"San Jose-Sunnyvale-Santa Clara, CA",37.2568,95118,-121.8896
101, San Mateo Foster City Ca Pfa Wstewtr,6081.0,"San Mateo, CA",CA,41860.0,"San Francisco-Oakland-Hayward, CA",37.5395,94403,-122.2998
102, Phoenix Az,4013.0,"Maricopa, AZ",AZ,38060.0,"Phoenix-Mesa-Scottsdale, AZ",33.4511,85003,-112.0774
103, Massachusetts (Commonwealth Of),25025.0,"Suffolk, MA",MA,14460.0,"Boston-Cambridge-Newton, MA-NH",42.3576,02108,-71.0684
104, Sierra Ridge Met Dist No 2 Col,8031.0,"Denver, CO",CO,19740.0,"Denver-Aurora-Lakewood, CO",39.7313,80203,-104.9811
105, Portage Mich,26077.0,"Kalamazoo, MI",MI,28020.0,"Kalamazoo-Portage, MI",42.1938,49002,-85.5639
106, Delaware Riv & Bay Auth Del Auth,10003.0,"New Castle, DE",DE,37980.0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39.5929,19720,-75.6515
107, Jefferson Cnty Colo Sch Dist No R-1,8059.0,"Jefferson, CO",CO,19740.0,"Denver-Aurora-Lakewood, CO",39.7305,80401,-105.1915
108, Anoka Cnty Minn,27003.0,"Anoka, MN",MN,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",45.2825,55303,-93.4186
109, Connecticut (State Of),9003.0,"Hartford, CT",CT,25540.0,"Hartford-West Hartford-East Hartford, CT",41.7498,06106,-72.6947
110, University Of Arizona,4019.0,"Pima, AZ",AZ,46060.0,"Tucson, AZ",32.2474,85719,-110.9491
111, Hennepin Cnty Minn,27053.0,"Hennepin, MN",MN,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",44.98,55487,-93.2638
112, Omaha Neb,31055.0,"Douglas, NE",NE,36540.0,"Omaha-Council Bluffs, NE-IA",41.2586,68183,-95.9378
113, Sutter Health,6067.0,"Sacramento, CA",CA,40900.0,"Sacramento--Roseville--Arden-Arcade, CA",38.6157,95833,-121.5053
114, Suffolk Cnty N Y,36103.0,"Suffolk, NY",NY,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",40.8231,11788,-73.1958
115, Multnomah Cnty Ore Sch Dist No 1 Portland,41051.0,"Multnomah, OR",OR,38900.0,"Portland-Vancouver-Hillsboro, OR-WA",45.5496,97227,-122.6743
116, Indiana St Revolving Fund,18097.0,"Marion, IN",IN,26900.0,"Indianapolis-Carmel-Anderson, IN",39.772,46204,-86.1535
117, University Of Michigan,26161.0,"Washtenaw, MI",MI,11460.0,"Ann Arbor, MI",42.2776,48109,-83.7409
118, Westchester Cnty N Y,36119.0,"Westchester, NY",NY,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",41.033,10601,-73.7652
119, Montana (State Of),30049.0,"Lewis and Clark, MT",MT,25740.0,"Helena, MT",46.6131,59601,-112.0213
120, Los Angeles Calif Wastewtr Sys - Subord,6037.0,"Los Angeles, CA",CA,31080.0,"Los Angeles-Long Beach-Anaheim, CA",34.0011,90601,-118.0371
121, Long Island Power Authority,36059.0,"Nassau, NY",NY,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",40.702,11553,-73.592
122, University Of Maryland,24033.0,"Prince George's, MD",MD,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",39.0005,20783,-76.9723
123, New Jersey Transportation Trust Fund Authority,34021.0,"Mercer, NJ",NJ,45940.0,"Trenton, NJ",40.2377,08618,-74.7821
124, Virginia St Hsg Dev Auth,51760.0,"City of Richmond, VA",VA,40060.0,"Richmond, VA",37.5498,23220,-77.4588
125, Colorado Water Resources & Power Dev Auth - C,8031.0,"Denver, CO",CO,19740.0,"Denver-Aurora-Lakewood, CO",39.7313,80203,-104.9811
126, Tippecanoe Cnty Ind Sch Bldg Corp,18157.0,"Tippecanoe, IN",IN,29200.0,"Lafayette-West Lafayette, IN",40.3228,47909,-86.8881
127, Iowa St Spl Oblig,19153.0,"Polk, IA",IA,19780.0,"Des Moines-West Des Moines, IA",41.5855,50312,-93.6719
128, San Francisco Calif Unified School Dist,6075.0,"San Francisco, CA",CA,41860.0,"San Francisco-Oakland-Hayward, CA",37.7813,94102,-122.4167
129, Memphis Tn Santn Swr Rev,47157.0,"Shelby, TN",TN,32820.0,"Memphis, TN-MS-AR",35.144,38103,-90.048
130, Oklahoma St Univ,40119.0,"Payne, OK",OK,44660.0,"Stillwater, OK",36.1241,74078,-97.0705
131, Hudson Yds Infrastructure,36061.0,"New York, NY",NY,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",40.7139,10007,-74.007
132, Wisconsin (State Of),55025.0,"Dane, WI",WI,31540.0,"Madison, WI",43.0696,53702,-89.4239
133, Durham N C Wtr & Swr Util Sys,37063.0,"Durham, NC",NC,20500.0,"Durham-Chapel Hill, NC",35.9631,27707,-78.9315
134, Usg Real Estate Foundation Viii Llc,13121.0,"Fulton, GA",GA,12060.0,"Atlanta-Sandy Springs-Roswell, GA",33.7489,30334,-84.3872
135, Rhode Island Clean Wtr Protn Fin Agy,44007.0,"Providence, RI",RI,39300.0,"Providence-Warwick, RI-MA",41.8383,02908,-71.4377
136, Revere Mass,25025.0,"Suffolk, MA",MA,14460.0,"Boston-Cambridge-Newton, MA-NH",42.4138,02151,-71.0052
137, Muhlenberg Pa Sch Dist,42011.0,"Berks, PA",PA,39740.0,"Reading, PA",40.3886,19605,-75.9328
138, University Of California,6001.0,"Alameda, CA",CA,41860.0,"San Francisco-Oakland-Hayward, CA",37.8071,94607,-122.2851
139, Forest Hills Mich Pub Schs,26081.0,"Kent, MI",MI,24340.0,"Grand Rapids-Wyoming, MI",42.928,49546,-85.5483
140, Bossier City La,22015.0,"Bossier, LA",LA,43340.0,"Shreveport-Bossier City, LA",32.5449,71111,-93.7038
141, Michigan State University,26065.0,"Ingham, MI",MI,29620.0,"Lansing-East Lansing, MI",42.7283,48824,-84.4882
142, University Of Utah,49035.0,"Salt Lake, UT",UT,41620.0,"Salt Lake City, UT",40.7659,84112,-111.8403
143, Promedica Health System,39095.0,"Lucas, OH",OH,45780.0,"Toledo, OH",41.708,43560,-83.7068
144, Metropolitan Washington Airports Authority,11001.0,"District of Columbia, DC",DC,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.9122,20001,-77.0177
145, Bay Area Toll Authority - Subordinate,6075.0,"San Francisco, CA",CA,41860.0,"San Francisco-Oakland-Hayward, CA",37.7864,94105,-122.3892
146, Metropolitan Water District Of Southern California,6037.0,"Los Angeles, CA",CA,31080.0,"Los Angeles-Long Beach-Anaheim, CA",34.0614,90012,-118.2385
147, Bridgewater & Raritan N J Sch Dist,34035.0,"Somerset, NJ",NJ,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",40.5904,08807,-74.6267
148, Iowa Stud Loan 2019 Res - Senior,19153.0,"Polk, IA",IA,19780.0,"Des Moines-West Des Moines, IA",41.5695,50266,-93.7994
149, Banner Health,4013.0,"Maricopa, AZ",AZ,38060.0,"Phoenix-Mesa-Scottsdale, AZ",33.5097,85012,-112.0678
150, Fremont Calif Un High Sch Dist,6085.0,"Santa Clara, CA",CA,41940.0,"San Jose-Sunnyvale-Santa Clara, CA",37.3502,94087,-122.0349
151, Santa Rosa Calif High Sch Dist,6097.0,"Sonoma, CA",CA,42220.0,"Santa Rosa, CA",38.4432,95401,-122.7547
152, Montgomery Cnty Tenn,47125.0,"Montgomery, TN",TN,17300.0,"Clarksville, TN-KY",36.522,37040,-87.349
153, California Department Of Water Resources,6067.0,"Sacramento, CA",CA,40900.0,"Sacramento--Roseville--Arden-Arcade, CA",38.5804,95814,-121.4922
154, San Francisco Calif Bay Area Rapid Tran Dist,6001.0,"Alameda, CA",CA,41860.0,"San Francisco-Oakland-Hayward, CA",37.8085,94612,-122.2668
155, Covenant Health,47093.0,"Knox, TN",TN,28940.0,"Knoxville, TN",35.858,37922,-84.1194
156, California (State Of),6067.0,"Sacramento, CA",CA,40900.0,"Sacramento--Roseville--Arden-Arcade, CA",38.5804,95814,-121.4922
157, District Of Columbia (Washington Dc),11001.0,"District of Columbia, DC",DC,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.9122,20001,-77.0177
158, Portland Ore,41051.0,"Multnomah, OR",OR,38900.0,"Portland-Vancouver-Hillsboro, OR-WA",45.5181,97204,-122.6745
159, Jonesboro Ark Sch Dist No 1,5031.0,"Craighead, AR",AR,27860.0,"Jonesboro, AR",35.833,72401,-90.6965
160, Philadelphia Pa Wtr & Wastewtr,42101.0,"Philadelphia, PA",PA,37980.0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39.9487,19107,-75.1593
161, Bonneville Pwr Admin,41051.0,"Multnomah, OR",OR,38900.0,"Portland-Vancouver-Hillsboro, OR-WA",45.5287,97232,-122.6363
162, Southern Methodist University Tx,48113.0,"Dallas, TX",TX,19100.0,"Dallas-Fort Worth-Arlington, TX",32.826,75205,-96.7843
163, Oregon Health Sciences Univ,41051.0,"Multnomah, OR",OR,38900.0,"Portland-Vancouver-Hillsboro, OR-WA",45.4983,97239,-122.6913
164, Riverside Ca Electric,6065.0,"Riverside, CA",CA,40140.0,"Riverside-San Bernardino-Ontario, CA",33.9533,92522,-117.3962
165, California St Lease,6067.0,"Sacramento, CA",CA,40900.0,"Sacramento--Roseville--Arden-Arcade, CA",38.5804,95814,-121.4922
166, Kaiser Permanente,6001.0,"Alameda, CA",CA,41860.0,"San Francisco-Oakland-Hayward, CA",37.8085,94612,-122.2668
167, Citizen Energy Group In - Wstewtr Rev 1St Lien,18097.0,"Marion, IN",IN,26900.0,"Indianapolis-Carmel-Anderson, IN",39.772,46204,-86.1535
168, Middletown Conn,9007.0,"Middlesex, CT",CT,25540.0,"Hartford-West Hartford-East Hartford, CT",41.5569,06457,-72.6652
169, New Hampshire Mun Bd Bk,33013.0,"Merrimack, NH",NH,18180.0,"Concord, NH",43.2185,03301,-71.5277
170, Atlanta Hartsfield-Jackson Aprt,13121.0,"Fulton, GA",GA,12060.0,"Atlanta-Sandy Springs-Roswell, GA",33.7525,30303,-84.3888
171, Sacramento Calif Transn Auth Sales,6067.0,"Sacramento, CA",CA,40900.0,"Sacramento--Roseville--Arden-Arcade, CA",38.5804,95814,-121.4922
172, Huntsville Ala Pub Bldg Auth,1089.0,"Madison, AL",AL,26620.0,"Huntsville, AL",34.7269,35801,-86.5673
173, Hampton Roads Santn Dist Va,51810.0,"Virginia Beach (city), VA",VA,47260.0,"Virginia Beach-Norfolk-Newport News, VA-NC",36.8881,23455,-76.1446
174, Swarthmore College,42045.0,"Delaware, PA",PA,37980.0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39.8967,19081,-75.3474
175, Lancaster Cnty Neb Sch Dist No 001,31109.0,"Lancaster, NE",NE,30700.0,"Lincoln, NE",40.8063,68510,-96.6545
176, Carteret Cnty N C,37031.0,"Carteret, NC",NC,33980.0,"Morehead City, NC",34.758,28516,-76.6228
177, New Hampshire St Tpk Sys Rev,33013.0,"Merrimack, NH",NH,18180.0,"Concord, NH",43.2185,03301,-71.5277
178, Fresno Calif Uni Sch Dist,6019.0,"Fresno, CA",CA,23420.0,"Fresno, CA",36.7377,93721,-119.7843
179, University Of Texas Permanent University Fund,48453.0,"Travis, TX",TX,12420.0,"Austin-Round Rock, TX",30.2852,78712,-97.7354
180, Anchorage Alaska,2020.0,"Anchorage Municipality, AK",AK,11260.0,"Anchorage, AK",61.2116,99501,-149.8761
181, Fort Worth Tex,48439.0,"Tarrant, TX",TX,19100.0,"Dallas-Fort Worth-Arlington, TX",32.7589,76102,-97.328
182, Glendale Calif Uni Sch Dist,6037.0,"Los Angeles, CA",CA,31080.0,"Los Angeles-Long Beach-Anaheim, CA",34.1556,91206,-118.2322
183, Polk Cnty Iowa,19153.0,"Polk, IA",IA,19780.0,"Des Moines-West Des Moines, IA",41.5887,50309,-93.6212
184, Tennessee St Sch Bd Auth Higher Edl Facs 2Nd Prog,28105.0,"Oktibbeha, MS",MS,44260.0,"Starkville, MS",33.4156,39762,-88.7433
185, Miami-Dade Cnty Fla,12086.0,"Miami-Dade, FL",FL,33100.0,"Miami-Fort Lauderdale-West Palm Beach, FL",25.7756,33128,-80.2089
186, Ohio Valley Electric Corporation,39131.0,"Pike, OH",OH,,,39.0437,45661,-83.121
187, Santa Clara Cnty Calif Lease,6085.0,"Santa Clara, CA",CA,41940.0,"San Jose-Sunnyvale-Santa Clara, CA",37.2568,95118,-121.8896
188, Amp Comb Hydro Projects,39049.0,"Franklin, OH",OH,18140.0,"Columbus, OH",40.0839,43229,-82.9726
189, Frisco Tex,48085.0,"Collin, TX",TX,19100.0,"Dallas-Fort Worth-Arlington, TX",33.1499,75034,-96.8241
190, Ohio St - Garvee,36001.0,"Albany, NY",NY,10580.0,"Albany-Schenectady-Troy, NY",42.6526,12207,-73.7562
191, New York St School Dist Fing Pg 2021A Pool,36001.0,"Albany, NY",NY,10580.0,"Albany-Schenectady-Troy, NY",42.6526,12234,-73.7562
